index,question,options,option1,option2,option3,option4,answer,explanation
26,"The operating system maintains a ______ table that keeps track of how many frames have been allocated, how many are there, and how many are available","['a) memory', 'b) mapping', 'c) page', 'd) frame']",a) memory,b) mapping,c) page,d) frame,d,None.
27,"To obtain better memory utilization, dynamic loading is used","['a) special support from operating system is essential', 'b) special support from hardware is required', 'c) user programs can implement dynamic loading without any special support from hardware or operating system', 'd) special support from both hardware and operating system is essential']",a) special support from operating system is essential,b) special support from hardware is required,c) user programs can implement dynamic loading without any special support from hardware or operating system,d) special support from both hardware and operating system is essential,c,None.
28,"The _________ presents a uniform device-access interface to the I/O subsystem, much as system calls provide a standard interface between the application and the operating system","['a) Device drivers', 'b) I/O systems', 'c) Devices', 'd) Buses']",a) Device drivers,b) I/O systems,c) Devices,d) Buses,a,None.
29,In real time operating system ____________,"['a) process scheduling can be done only once', 'b) all processes have the same priority', 'c) kernel is not required', 'd) a task must be serviced by its deadline period']",a) process scheduling can be done only once,b) all processes have the same priority,c) kernel is not required,d) a task must be serviced by its deadline period,d,None.
30,Hard real time operating system has ______________ jitter than a soft real time operating system,"['a) equal', 'b) more', 'c) less', 'd) none of the mentioned']",a) equal,b) more,c) less,d) none of the mentioned,c,Jitter is the undesired deviation from the true periodicity.
31,"For real time operating systems, interrupt latency should be ____________","['a) zero', 'b) minimal', 'c) maximum', 'd) dependent on the scheduling']",a) zero,b) minimal,c) maximum,d) dependent on the scheduling,b,Interrupt latency is the time duration between the generation of interrupt and execution of its service.
32,Which one of the following is a real time operating system?,"['a) Windows CE', 'b) RTLinux', 'c) VxWorks', 'd) All of the mentioned']",a) Windows CE,b) RTLinux,c) VxWorks,d) All of the mentioned,d,None.
33,The priority of a process will ______________ if the scheduler assigns it a static priority,"['a) depends on the operating system', 'b) change', 'c) remain unchanged', 'd) none of the mentioned']",a) depends on the operating system,b) change,c) remain unchanged,d) none of the mentioned,c,None.
34,What are the characteristics of Host based IDS?,"['a) Logs are analysed to detect tails of intrusion', 'b) The host operating system logs in the audit information', 'c) Logs includes logins, file opens, and program executions', 'd) All of the mentioned']",a) Logs are analysed to detect tails of intrusion,b) The host operating system logs in the audit information,"c) Logs includes logins, file opens, and program executions",d) All of the mentioned,d,None.
35,What are the characteristics of stack based IDS?,"['a) It is programmed to interpret a certain series of packets', 'b) It models the normal usage of the network as a noise characterization', 'c) They are integrated closely with the TCP/IP stack and watch packets', 'd) The host operating system logs in the audit information']",a) It is programmed to interpret a certain series of packets,b) It models the normal usage of the network as a noise characterization,c) They are integrated closely with the TCP/IP stack and watch packets,d) The host operating system logs in the audit information,c,None.
36,"If the sum of the working – set sizes increases, exceeding the total number of available frames ____________","['a) the operating system selects a process to suspend', 'b) the system crashes', 'c) then the process crashes', 'd) the memory overflows']",a) the operating system selects a process to suspend,b) the system crashes,c) then the process crashes,d) the memory overflows,a,None.
37,The information about all files is kept in ____________,"['a) operating system', 'b) separate directory structure', 'c) swap space', 'd) none of the mentioned']",a) operating system,b) separate directory structure,c) swap space,d) none of the mentioned,b,None.
38,The operating system keeps a small table containing information about all open files called ____________,"['a) file table', 'b) directory table', 'c) open-file table', 'd) system table']",a) file table,b) directory table,c) open-file table,d) system table,c,None.
39,What will happen in the single level directory?,"['a) All files are contained in the same directory', 'b) All files are contained in different directories all at the same level', 'c) Depends on the operating system', 'd) None of the mentioned']",a) All files are contained in the same directory,b) All files are contained in different directories all at the same level,c) Depends on the operating system,d) None of the mentioned,a,None.
40,"The operating system _______ the links when traversing directory trees, to preserve the acyclic structure of the system","['a) deletes', 'b) considers', 'c) ignores', 'd) none of the mentioned']",a) deletes,b) considers,c) ignores,d) none of the mentioned,c,None.
41,To recover from failures in the network operations _____________ information may be maintained,"['a) operating system', 'b) ip address', 'c) stateless', 'd) state']",a) operating system,b) ip address,c) stateless,d) state,d,None.
42,"On systems where there are multiple operating system, the decision to load a particular one is done by _____________","['a) process control block', 'b) file control block', 'c) boot loader', 'd) bootstrap']",a) process control block,b) file control block,c) boot loader,d) bootstrap,c,None.
43,Whenever a process needs I/O to or from a disk it issues a ______________,"['a) system call to the operating system', 'b) a special procedure', 'c) system call to the CPU', 'd) all of the mentioned']",a) system call to the operating system,b) a special procedure,c) system call to the CPU,d) all of the mentioned,a,None.
44,The two steps the operating system takes to use a disk to hold its files are _______ and ________,"['a) caching & logical formatting', 'b) logical formatting & swap space creation', 'c) swap space creation & caching', 'd) partitioning & logical formatting']",a) caching & logical formatting,b) logical formatting & swap space creation,c) swap space creation & caching,d) partitioning & logical formatting,d,None.
45,"The _______ program initializes all aspects of the system, from CPU registers to device controllers and the contents of main memory, and then starts the operating system","['a) bootstrap', 'b) main', 'c) bootloader', 'd) rom']",a) bootstrap,b) main,c) bootloader,d) rom,a,None.
46,"In SCSI disks used in high end PCs, the controller maintains a list of _________ on the disk","['a) destroyed blocks, partitioning', 'b) bad blocks, low level formatting', 'c) destroyed blocks, high level formatting', 'd) bad blocks, partitioning']","a) destroyed blocks, partitioning","b) bad blocks, low level formatting","c) destroyed blocks, high level formatting","d) bad blocks, partitioning",b,None.
47,"Which principle states that programs, users, and even the systems be given just enough privileges to perform their task?","['a) principle of least privilege', 'b) principle of process scheduling', 'c) principle of operating system', 'd) none of the mentioned']",a) principle of least privilege,b) principle of process scheduling,c) principle of operating system,d) none of the mentioned,a,None.
48,Network operating system runs on ___________,"['a) every system in the network', 'b) server', 'c) both server and every system in the network', 'd) none of the mentioned']",a) every system in the network,b) server,c) both server and every system in the network,d) none of the mentioned,b,None.
49,What are the types of distributed operating systems?,"['a) Zone based Operating system', 'b) Level based Operating system', 'c) Network Operating system', 'd) All of the mentioned']",a) Zone based Operating system,b) Level based Operating system,c) Network Operating system,d) All of the mentioned,c,None.
50,"In Unix, which system call creates the new process?","['a) create', 'b) fork', 'c) new', 'd) none of the mentioned']",a) create,b) fork,c) new,d) none of the mentioned,b,"In UNIX, a new process is created by fork() system call. fork() system call returns a process ID which is generally the process id of the child process created."
